#ID I L O Z T J S Perfect
738 2 0 4 0 0 3 1 1
739 2 0 0 4 0 3 1 1
740 2 0 0 0 4 3 1 1
741 3 2 4 0 0 0 1 0
742 3 2 0 4 0 0 1 0
743 3 2 0 0 4 0 1 1
744 3 2 0 0 0 4 1 1
745 4 2 3 0 0 0 1 0
746 0 2 3 4 0 0 1 0
747 0 2 3 0 4 0 1 0
748 0 2 3 0 0 4 1 0
749 4 2 0 3 0 0 1 0
750 0 2 4 3 0 0 1 0
751 0 2 0 3 4 0 1 0
752 0 2 0 3 0 4 1 0
753 4 2 0 0 3 0 1 1
754 0 2 4 0 3 0 1 0
755 0 2 0 4 3 0 1 0
756 0 2 0 0 3 4 1 0
757 4 2 0 0 0 3 1 1
758 0 2 4 0 0 3 1 0
759 0 2 0 4 0 3 1 0
760 0 2 0 0 4 3 1 0
761 3 4 2 0 0 0 1 0
762 3 0 2 4 0 0 1 0
763 3 0 2 0 4 0 1 0
764 3 0 2 0 0 4 1 1
765 4 3 2 0 0 0 1 0
766 0 3 2 4 0 0 1 0
767 0 3 2 0 4 0 1 0
768 0 3 2 0 0 4 1 0
769 4 0 2 3 0 0 1 0
770 0 4 2 3 0 0 1 0
771 0 0 2 3 4 0 1 0
772 0 0 2 3 0 4 1 0
773 4 0 2 0 3 0 1 0
